MOE3.Percentage of unspent funds,com_post_MOPs.Communication System.Time to get info,com_post_MOPs.Computer.Processing time,comms_MOPs.Satellite.Receiving time,comms_MOPs.Satellite.Sending time,target.Distance from base,target.Distance from optimized path start,environment.Precipitation,environment.Wind speed,h.Analysis time,h.Rescue in region time,h.Time to hospital,h.Time to prepare,h.Time to region,laptop.Recognition software tool.Analysis time,MOE1.Fuel cost improvement rate,MOE2.Time improvement Rate,rescue unit MOPs.Fuel cost,rescue unit MOPs.Time to rescue,search unit MOPs.Fuel cost,search unit MOPs.Time to detect,Total MOPs.Fuel consumption cost,Total MOPs.Mission time,UAV.Conditional cruise speed,UAV.Conditional max speed,UAV.Search time,UAV.Time to prepare,UAV.Time to region,UAV.camera.Transmission delay,UAV.camera.Transparency,UAV.nav.Wireless connection delay rate
50.0000,0.0293,0.0100,0.0007,0.0008,13.0657,5.7399,0.9453,4.5636,8.3728,0.0240,0.1152,0.0233,0.1152,1.7455,16.7411,-9.7606,95.7465,0.2777,0.0013,0.2303,95.7477,0.5488,94.5307,94.5307,0.0614,0.0133,0.1555,0.7859,0.9500,0.8340
50.0000,0.0275,0.0084,0.0008,0.0010,12.6027,2.7342,0.5384,0.3036,8.6555,0.0262,0.1050,0.0258,0.1050,1.2742,23.5183,-8.1248,87.9526,0.2621,0.0014,0.2408,87.9540,0.5406,100.0000,100.0000,0.0279,0.0149,0.1980,0.5980,1.0000,1.1221
50.0000,0.0271,0.0106,0.0006,0.0007,12.5163,3.6728,0.4315,6.4616,9.7402,0.0296,0.1043,0.0220,0.1043,1.5853,23.5777,-5.4959,87.8844,0.2602,0.0013,0.2283,87.8857,0.5275,100.0000,100.0000,0.0373,0.0137,0.1774,0.5196,1.0000,0.8815
50.0000,0.0184,0.0134,0.0010,0.0009,11.2614,4.6481,0.8403,14.1469,9.7060,0.0193,0.1301,0.0313,0.1301,2.0418,6.9864,-6.8144,106.9646,0.3108,0.0010,0.1896,106.9656,0.5341,100.0000,100.0000,0.0472,0.0097,0.1326,0.6052,0.9700,0.6226
50.0000,0.0303,0.0099,0.0010,0.0009,14.4646,5.0206,0.2636,0.6238,9.0373,0.0202,0.1205,0.0239,0.1205,2.8221,13.5153,-15.4758,99.4560,0.2851,0.0014,0.2502,99.4574,0.5774,100.0000,100.0000,0.0513,0.0093,0.1896,1.2334,1.0000,1.3187
50.0000,0.0306,0.0108,0.0009,0.0007,11.9247,4.8692,0.5563,11.2425,9.2880,0.0202,0.0994,0.0251,0.0994,1.9857,28.2347,1.8026,82.5290,0.2441,0.0011,0.2038,82.5301,0.4910,100.0000,100.0000,0.0496,0.0125,0.1418,1.3179,1.0000,1.2127
50.0000,0.0295,0.0119,0.0009,0.0009,12.0929,2.9812,0.7004,0.5445,8.9774,0.0292,0.1439,0.0186,0.1439,2.8924,-3.8951,-21.3880,119.4780,0.3355,0.0013,0.2283,119.4794,0.6069,100.0000,100.0000,0.0310,0.0148,0.1826,1.1188,0.9700,0.5759
50.0000,0.0229,0.0089,0.0009,0.0009,12.9778,3.9281,0.1186,11.6391,8.7699,0.0196,0.1081,0.0219,0.1081,1.4906,22.2074,-4.7761,89.4602,0.2578,0.0013,0.2324,89.4615,0.5239,100.0000,100.0000,0.0399,0.0109,0.1816,0.8132,1.0000,1.0785
50.0000,0.0280,0.0107,0.0007,0.0010,16.3627,4.8337,0.2819,15.5366,9.0613,0.0225,0.1614,0.0197,0.1614,2.8057,-15.2371,-49.5364,132.5206,0.3651,0.0020,0.3422,132.5226,0.7477,84.4634,84.4634,0.0583,0.0102,0.2738,0.9348,1.0000,1.3681
50.0000,0.0215,0.0143,0.0011,0.0008,12.0745,3.4337,0.3836,1.9713,9.5023,0.0292,0.1006,0.0267,0.1006,1.1567,26.1903,-3.0191,84.8799,0.2571,0.0013,0.2203,84.8812,0.5151,100.0000,100.0000,0.0349,0.0122,0.1733,0.6948,1.0000,0.8688
50.0000,0.0260,0.0102,0.0006,0.0008,14.9214,5.4392,0.1855,5.1104,8.8646,0.0178,0.1243,0.0233,0.1243,2.0598,11.1789,-16.4099,102.1428,0.2897,0.0014,0.2548,102.1442,0.5820,100.0000,100.0000,0.0552,0.0097,0.1900,0.8474,1.0000,0.5589
50.0000,0.0324,0.0138,0.0010,0.0006,9.6610,4.6818,0.3611,1.5242,9.5786,0.0211,0.0805,0.0206,0.0805,1.9236,41.2419,17.1639,67.5710,0.2027,0.0008,0.1637,67.5718,0.4142,100.0000,100.0000,0.0476,0.0160,0.1002,0.8147,1.0000,1.1037
50.0000,0.0258,0.0168,0.0007,0.0011,11.6406,1.9444,0.1322,12.7412,8.9058,0.0321,0.0970,0.0287,0.0970,2.1835,28.3289,-5.9377,82.4204,0.2548,0.0013,0.2305,82.4218,0.5297,100.0000,100.0000,0.0204,0.0157,0.1945,1.1383,1.0000,1.0358
50.0000,0.0210,0.0128,0.0008,0.0007,9.7497,4.1989,0.3719,16.0502,8.8003,0.0330,0.0968,0.0276,0.0968,1.4855,28.3738,2.9559,82.3691,0.2542,0.0011,0.1958,82.3701,0.4852,83.9498,83.9498,0.0508,0.0121,0.1329,1.4635,1.0000,1.2494
50.0000,0.0280,0.0165,0.0007,0.0010,15.7981,2.6865,0.8605,9.8819,9.8513,0.0294,0.1530,0.0184,0.1530,1.5231,-10.2729,-41.2890,126.8120,0.3538,0.0018,0.3063,126.8138,0.7064,100.0000,100.0000,0.0275,0.0160,0.2629,0.8051,0.9700,1.1369
50.0000,0.0183,0.0126,0.0011,0.0007,8.4502,5.1296,0.8095,6.7041,9.1316,0.0251,0.0870,0.0249,0.0870,1.5076,36.2031,22.8912,73.3658,0.2241,0.0006,0.1288,73.3664,0.3855,100.0000,100.0000,0.0520,0.0098,0.0670,1.0924,0.9700,1.0291
50.0000,0.0223,0.0121,0.0008,0.0011,10.3298,5.9475,0.1850,4.1040,8.8005,0.0208,0.0861,0.0310,0.0861,1.5595,37.4050,15.8315,71.9834,0.2239,0.0008,0.1607,71.9842,0.4208,100.0000,100.0000,0.0601,0.0122,0.0884,0.7677,1.0000,1.3191
50.0000,0.0217,0.0154,0.0007,0.0011,16.2880,4.4547,0.4062,7.2242,9.1239,0.0227,0.1357,0.0295,0.1357,2.7737,2.6195,-32.2294,111.9859,0.3236,0.0017,0.2987,111.9876,0.6611,100.0000,100.0000,0.0456,0.0157,0.2374,1.1357,1.0000,1.3965
50.0000,0.0226,0.0166,0.0010,0.0008,10.3456,0.4435,0.3776,17.9340,9.0740,0.0251,0.1051,0.0258,0.1051,2.8977,23.6387,-12.7963,87.8138,0.2611,0.0016,0.2619,87.8154,0.5640,82.0660,82.0660,0.0064,0.0134,0.2421,0.6711,1.0000,1.3532
50.0000,0.0214,0.0094,0.0010,0.0008,8.7519,3.5208,0.5366,4.6176,9.0855,0.0310,0.0729,0.0314,0.0729,1.9473,45.2214,21.3290,62.9945,0.2082,0.0008,0.1525,62.9954,0.3934,100.0000,100.0000,0.0361,0.0113,0.1052,1.1351,1.0000,0.9789
50.0000,0.0213,0.0150,0.0007,0.0008,11.3195,2.2193,0.2110,17.9234,9.1034,0.0264,0.1149,0.0313,0.1149,2.5244,16.6016,-16.8874,95.9066,0.2876,0.0016,0.2592,95.9082,0.5844,82.0766,82.0766,0.0279,0.0089,0.2223,0.5892,1.0000,1.0747
50.0000,0.0264,0.0166,0.0010,0.0006,9.3475,2.2410,0.7425,15.9336,8.2584,0.0171,0.1248,0.0290,0.1248,1.2128,10.9566,-9.6632,102.3987,0.2957,0.0012,0.2080,102.3999,0.5483,84.0664,84.0664,0.0273,0.0111,0.1696,0.9486,0.9700,0.8831
50.0000,0.0246,0.0154,0.0009,0.0007,15.5708,0.2840,0.0961,6.8384,9.2012,0.0290,0.1298,0.0309,0.1298,2.9030,5.9459,-35.9256,108.1602,0.3194,0.0020,0.3187,108.1622,0.6796,100.0000,100.0000,0.0038,0.0087,0.3062,0.5508,1.0000,0.8018
50.0000,0.0264,0.0160,0.0006,0.0007,16.3414,1.7020,0.5416,7.7188,9.0094,0.0241,0.1362,0.0176,0.1362,1.5129,2.1216,-35.9424,112.5582,0.3140,0.0020,0.3221,112.5601,0.6797,100.0000,100.0000,0.0176,0.0113,0.2932,0.6805,1.0000,0.8141
50.0000,0.0282,0.0147,0.0006,0.0011,16.1711,5.1391,0.7012,3.6553,9.9261,0.0203,0.1922,0.0199,0.1922,2.8488,-36.3395,-50.3969,156.7888,0.4246,0.0016,0.2829,156.7904,0.7520,100.0000,100.0000,0.0525,0.0093,0.2211,1.1530,0.9700,0.8738
50.0000,0.0228,0.0162,0.0007,0.0009,15.3785,0.5553,0.2547,2.2028,9.5776,0.0222,0.1282,0.0198,0.1282,2.4654,7.9497,-31.3440,105.8559,0.2983,0.0020,0.3179,105.8579,0.6567,100.0000,100.0000,0.0066,0.0142,0.2971,1.1373,1.0000,1.1207
50.0000,0.0220,0.0166,0.0006,0.0010,11.4999,1.9678,0.5967,14.8169,9.8866,0.0235,0.1125,0.0189,0.1125,2.2313,18.6715,-6.7281,93.5265,0.2674,0.0013,0.2260,93.5278,0.5336,100.0000,100.0000,0.0207,0.0139,0.1913,1.3380,1.0000,1.2763
