MOE3.Percentage of unspent funds,com_post_MOPs.Communication System.Time to get info,com_post_MOPs.Computer.Processing time,comms_MOPs.Satellite.Receiving time,comms_MOPs.Satellite.Sending time,target.Distance from base,target.Distance from optimized path start,environment.Precipitation,environment.Wind speed,h.Analysis time,h.Rescue in region time,h.Time to hospital,h.Time to prepare,h.Time to region,laptop.Recognition software 3.Analysis time,MOE1.Fuel cost improvement rate,MOE2.Time improvement Rate,rescue unit MOPs.Fuel cost,rescue unit MOPs.Time to rescue,search unit MOPs.Fuel cost,search unit MOPs.Time to detect,Total MOPs.Fuel consumption cost,Total MOPs.Mission time,UAV.Conditional cruise speed,UAV.Conditional max speed,UAV.Search time,UAV.Time to prepare,UAV.Time to region,UAV.Camera 3.Transmission delay,UAV.Camera 3.Transparency,UAV.On-board navigation system 3.Navigation algorithm accuracy
45.0000,0.0239,0.0140,0.0007,0.0010,8.3078,3.8225,0.8443,16.9493,8.9460,0.0257,0.0987,0.0299,0.0987,1.3519,27.9630,8.3123,82.8417,0.2531,0.0009,0.1657,82.8425,0.4584,83.0507,83.0507,0.0466,0.0102,0.1089,0.7900,0.9700,0.9944
45.0000,0.0284,0.0151,0.0006,0.0010,9.9000,4.7622,0.9798,15.3087,8.2235,0.0171,0.0994,0.0272,0.0994,2.4496,28.6029,4.0267,82.1056,0.2432,0.0010,0.1915,82.1067,0.4799,82.9794,82.9794,0.0583,0.0082,0.1250,0.5501,0.9500,0.9925
45.0000,0.0187,0.0118,0.0006,0.0006,14.3498,1.6777,0.9301,10.5490,8.5188,0.0274,0.1286,0.0311,0.1286,1.1976,6.9921,-30.7614,106.9572,0.3156,0.0019,0.3064,106.9590,0.6538,93.0116,93.0116,0.0186,0.0106,0.2772,0.6511,0.9500,0.9837
45.0000,0.0274,0.0107,0.0010,0.0006,9.3360,2.5238,0.5323,5.0852,9.3801,0.0216,0.0778,0.0254,0.0778,1.4071,43.0572,15.9283,65.4832,0.2026,0.0010,0.1781,65.4842,0.4204,100.0000,100.0000,0.0258,0.0136,0.1386,0.6624,1.0000,0.9844
45.0000,0.0184,0.0120,0.0011,0.0009,15.7230,2.0545,0.5810,14.5097,8.0892,0.0308,0.1533,0.0171,0.1533,2.8611,-10.6351,-38.9711,127.2285,0.3544,0.0019,0.3081,127.2304,0.6949,100.0000,100.0000,0.0216,0.0105,0.2759,1.0476,1.0000,0.9918
45.0000,0.0178,0.0133,0.0009,0.0010,11.6597,4.5242,0.6923,1.7912,9.8445,0.0198,0.0972,0.0311,0.0972,1.8217,29.8234,4.0941,80.7020,0.2452,0.0011,0.2014,80.7031,0.4795,100.0000,100.0000,0.0461,0.0110,0.1443,1.2491,1.0000,0.9909
45.0000,0.0317,0.0093,0.0008,0.0006,13.5906,3.3053,0.4051,3.9991,9.2026,0.0209,0.1133,0.0310,0.1133,1.6368,18.4882,-14.5199,93.7371,0.2784,0.0015,0.2517,93.7386,0.5726,100.0000,100.0000,0.0339,0.0108,0.2071,1.2923,1.0000,0.9946
45.0000,0.0253,0.0146,0.0006,0.0008,14.8626,0.2462,0.0668,11.7218,8.1596,0.0269,0.1239,0.0195,0.1239,1.4142,10.3330,-30.2741,103.1151,0.2941,0.0019,0.3159,103.1171,0.6514,100.0000,100.0000,0.0030,0.0158,0.2971,0.5665,1.0000,0.9847
45.0000,0.0240,0.0136,0.0007,0.0009,14.3599,0.8530,0.6733,3.8860,9.9978,0.0171,0.1197,0.0233,0.1197,2.7726,14.5231,-23.1296,98.2966,0.2797,0.0018,0.2968,98.2985,0.6156,100.0000,100.0000,0.0097,0.0133,0.2738,1.2659,1.0000,0.9876
45.0000,0.0263,0.0145,0.0009,0.0008,11.6395,4.4221,0.1346,17.5369,8.7835,0.0300,0.1176,0.0307,0.1176,2.9465,14.2662,-16.9058,98.5925,0.2959,0.0014,0.2462,98.5939,0.5845,82.4631,82.4631,0.0547,0.0150,0.1764,1.0624,1.0000,0.9936
