MOE3.Percentage of unspent funds,com_post_MOPs.Communication System.Time to get info,com_post_MOPs.Computer.Processing time,comms_MOPs.Satellite.Receiving time,comms_MOPs.Satellite.Sending time,target.Distance from base,target.Distance from optimized path start,environment.Precipitation,environment.Wind speed,h.Analysis time,h.Rescue in region time,h.Time to hospital,h.Time to prepare,h.Time to region,laptop.Recognition software 4.Confirmation time,MOE1.Fuel cost improvement rate,MOE2.Time improvement Rate,rescue unit MOPs.Fuel cost,rescue unit MOPs.Time to rescue,search unit MOPs.Fuel cost,search unit MOPs.Time to detect,Total MOPs.Fuel consumption cost,Total MOPs.Mission time,UAV.Conditional cruise speed,UAV.Conditional max speed,UAV.Search time,UAV.Time to prepare,UAV.Time to region,UAV.Camera 4.Transparency,UAV.On-board analysis system 4.Analysis time,UAV.On-board analysis system 4.Image recognition algorithm accuracy,UAV.On-board analysis system 4.Transmission delay,UAV.On-board navigation system 4.Navigation algorithm accuracy
37.5000,0.0275,0.0112,0.0008,0.0008,8.3435,5.0811,0.4965,11.2353,9.8665,0.0249,0.0695,0.0230,0.0695,1.7205,48.3838,29.3180,59.3580,0.1869,0.0006,0.1262,59.3586,0.3534,100.0000,100.0000,0.0516,0.0087,0.0658,1.0000,0.3986,0.9903,0.7433,0.9954
37.5000,0.0325,0.0157,0.0007,0.0008,12.2969,4.2768,0.7686,8.7547,9.3192,0.0311,0.1333,0.0195,0.1333,1.0075,3.2045,-17.1425,111.3136,0.3172,0.0012,0.2189,111.3148,0.5857,100.0000,100.0000,0.0434,0.0125,0.1630,0.9700,0.3498,0.9873,1.0586,0.9856
37.5000,0.0268,0.0168,0.0009,0.0008,13.2685,4.3712,0.6254,10.7752,8.8565,0.0259,0.1106,0.0327,0.1106,1.6296,19.7055,-12.4694,92.3373,0.2797,0.0013,0.2373,92.3386,0.5623,100.0000,100.0000,0.0447,0.0138,0.1789,1.0000,0.4005,0.9983,1.4025,0.9964
37.5000,0.0224,0.0103,0.0007,0.0008,15.8313,5.8604,0.2672,17.4642,9.2542,0.0280,0.1598,0.0272,0.1598,1.0261,-14.8426,-48.1606,132.0671,0.3749,0.0019,0.3317,132.0690,0.7408,82.5358,82.5358,0.0717,0.0147,0.2453,1.0000,0.3119,0.9970,1.1973,0.9859
37.5000,0.0256,0.0170,0.0009,0.0008,14.8240,4.3502,0.9041,4.4867,8.6945,0.0214,0.1366,0.0264,0.1366,1.3735,2.1573,-31.1413,112.5174,0.3210,0.0017,0.2904,112.5191,0.6557,90.4101,90.4101,0.0488,0.0095,0.2321,0.9500,0.3671,0.9839,0.7695,0.9996
37.5000,0.0286,0.0157,0.0006,0.0006,11.9873,3.6625,0.0619,4.7203,9.5481,0.0267,0.0999,0.0178,0.0999,1.5130,27.0180,-1.4209,83.9281,0.2443,0.0012,0.2172,83.9293,0.5071,100.0000,100.0000,0.0375,0.0111,0.1686,1.0000,0.3817,0.9863,1.3214,0.9890
37.5000,0.0198,0.0158,0.0010,0.0009,16.9571,0.3215,0.1050,9.0632,9.9953,0.0263,0.1413,0.0258,0.1413,1.5809,-1.7312,-45.0271,116.9887,0.3347,0.0022,0.3529,116.9909,0.7251,100.0000,100.0000,0.0040,0.0117,0.3372,1.0000,0.4333,0.9824,0.7497,0.9873
37.5000,0.0286,0.0103,0.0008,0.0009,10.4560,1.0735,0.0264,9.6205,8.4551,0.0258,0.0871,0.0237,0.0871,1.6639,36.0165,4.1018,73.5797,0.2238,0.0013,0.2151,73.5810,0.4795,100.0000,100.0000,0.0115,0.0136,0.1900,1.0000,0.3562,0.9867,0.6801,0.9888
37.5000,0.0325,0.0086,0.0006,0.0010,11.5086,5.8681,0.9357,8.8997,8.2521,0.0270,0.1025,0.0195,0.1025,1.8064,25.1790,1.2929,86.0431,0.2515,0.0010,0.1994,86.0442,0.4935,93.5711,93.5711,0.0637,0.0139,0.1217,0.9500,0.3312,0.9956,1.4536,0.9926
37.5000,0.0225,0.0167,0.0006,0.0010,10.9499,1.7048,0.5580,11.0214,8.0357,0.0313,0.0912,0.0203,0.0912,1.9383,32.4385,1.1819,77.6944,0.2341,0.0013,0.2191,77.6957,0.4941,100.0000,100.0000,0.0180,0.0127,0.1883,1.0000,0.3426,0.9845,1.2745,0.9830
