MOE3.Percentage of unspent funds,com_post_MOPs.Communication System.Time to get info,com_post_MOPs.Computer.Processing time,comms_MOPs.Satellite.Receiving time,comms_MOPs.Satellite.Sending time,target.Distance from base,target.Distance from optimized path start,environment.Precipitation,environment.Wind speed,h.Analysis time,h.Rescue in region time,h.Time to hospital,h.Time to prepare,h.Time to region,MOE1.Fuel cost improvement rate,MOE2.Time improvement Rate,rescue unit MOPs.Fuel cost,rescue unit MOPs.Time to rescue,search unit MOPs.Fuel cost,search unit MOPs.Time to detect,Total MOPs.Fuel consumption cost,Total MOPs.Mission time,UAV.Conditional cruise speed,UAV.Conditional max speed,UAV.Search time,UAV.Time to prepare,UAV.Time to region,UAV.Camera 5.Transparency,UAV.On-board analysis system 5.Analysis time,UAV.On-board analysis system 5.Image recognition algorithm accuracy,UAV.On-board navigation system 5.Navigation algorithm accuracy
25.0000,0.0228,0.0149,0.0010,0.0010,8.8560,4.9555,0.9018,13.1088,8.9437,0.0205,0.0942,0.0326,0.0942,31.8102,13.1627,78.4175,0.2415,0.0008,0.1531,78.4183,0.4342,90.1810,90.1810,0.0551,0.0096,0.0884,0.9500,0.4137,0.9979,0.9813
25.0000,0.0275,0.0140,0.0006,0.0008,16.2675,5.9683,0.9817,11.9887,8.2186,0.0222,0.1381,0.0296,0.1381,1.0460,-30.5639,113.7955,0.3280,0.0016,0.2820,113.7971,0.6528,98.1716,98.1716,0.0609,0.0080,0.2131,0.9500,0.3465,0.9849,0.9858
25.0000,0.0248,0.0157,0.0008,0.0009,12.0891,0.2310,0.2828,4.4619,8.2695,0.0200,0.1007,0.0204,0.1007,27.3022,-8.1165,83.6009,0.2419,0.0016,0.2565,83.6024,0.5406,100.0000,100.0000,0.0024,0.0125,0.2416,1.0000,0.4768,0.9818,0.9825
25.0000,0.0171,0.0091,0.0009,0.0006,15.9457,4.9842,0.4297,8.7416,8.7112,0.0210,0.1329,0.0194,0.1329,4.8200,-23.9254,109.4554,0.3062,0.0016,0.2858,109.4570,0.6196,100.0000,100.0000,0.0500,0.0120,0.2238,1.0000,0.4580,0.9985,0.9802
25.0000,0.0267,0.0123,0.0008,0.0011,9.5450,4.6125,0.2254,3.6854,9.3960,0.0258,0.0795,0.0204,0.0795,41.3000,18.4652,67.5041,0.2053,0.0008,0.1614,67.5050,0.4077,100.0000,100.0000,0.0462,0.0146,0.1005,1.0000,0.3812,0.9954,0.9839
25.0000,0.0321,0.0109,0.0009,0.0011,8.0355,5.7583,0.0211,7.7081,8.3321,0.0271,0.0670,0.0234,0.0670,49.8778,30.1889,57.6400,0.1844,0.0005,0.1196,57.6405,0.3491,100.0000,100.0000,0.0577,0.0159,0.0460,1.0000,0.3921,0.9933,0.9966
25.0000,0.0292,0.0092,0.0010,0.0010,9.4658,1.4245,0.8125,8.6010,9.8403,0.0231,0.0971,0.0290,0.0971,29.4393,4.4675,81.1437,0.2464,0.0011,0.1908,81.1448,0.4777,100.0000,100.0000,0.0144,0.0143,0.1622,0.9700,0.4858,0.9819,0.9934
25.0000,0.0178,0.0124,0.0010,0.0006,14.5096,5.4554,0.7698,9.0964,8.5534,0.0221,0.1571,0.0218,0.1571,-12.1481,-27.2773,128.9689,0.3580,0.0014,0.2466,128.9703,0.6364,100.0000,100.0000,0.0547,0.0085,0.1834,0.9700,0.4306,0.9993,0.9888
25.0000,0.0321,0.0099,0.0009,0.0008,9.9020,0.6302,0.9189,3.0835,9.0512,0.0215,0.0898,0.0225,0.0898,34.7332,2.2078,75.0554,0.2236,0.0014,0.2217,75.0568,0.4890,91.8935,91.8935,0.0069,0.0110,0.2038,0.9500,0.2550,0.9877,0.9915
25.0000,0.0243,0.0143,0.0008,0.0008,13.6706,3.8775,0.9163,13.2642,9.9180,0.0259,0.1433,0.0224,0.1433,-3.0986,-29.6063,118.5618,0.3350,0.0016,0.2729,118.5634,0.6480,91.6322,91.6322,0.0425,0.0136,0.2169,0.9500,0.4977,0.9844,0.9868
25.0000,0.0219,0.0136,0.0010,0.0007,15.3988,4.8906,0.2104,4.6461,8.0412,0.0172,0.1283,0.0188,0.1283,8.4888,-20.2583,105.2363,0.2926,0.0016,0.2714,105.2379,0.6013,100.0000,100.0000,0.0490,0.0104,0.2120,1.0000,0.3550,0.9908,0.9926
25.0000,0.0239,0.0129,0.0011,0.0010,10.4481,3.9978,0.2899,2.7292,8.5513,0.0310,0.0871,0.0287,0.0871,35.3809,9.6272,74.3110,0.2338,0.0010,0.1792,74.3120,0.4519,100.0000,100.0000,0.0401,0.0094,0.1297,1.0000,0.2834,0.9987,0.9970
25.0000,0.0221,0.0140,0.0009,0.0006,9.1307,2.1187,0.5034,11.7418,8.9325,0.0317,0.0761,0.0322,0.0761,42.9382,13.5975,65.6201,0.2160,0.0010,0.1785,65.6211,0.4320,100.0000,100.0000,0.0213,0.0150,0.1421,1.0000,0.3951,0.9969,0.9884
